epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.283,1.59795,1.43124,1.15765,0.7197,0.67252,0.72361,0.4239,1.53417,1.81284,1.15755,0.000665738,0.000665738,0.000665738
2,631.915,1.53996,1.12193,1.13219,0.67474,0.61713,0.6786,0.39889,1.54217,4.11198,1.13339,0.00128844,0.00128844,0.00128844
3,944.776,1.51494,1.10008,1.12391,0.69185,0.68416,0.72967,0.43184,1.43991,1.84291,1.1193,0.00186713,0.00186713,0.00186713
4,1262.15,1.48014,1.03505,1.11064,0.73982,0.72761,0.77497,0.47724,1.38117,2.49173,1.07951,0.001802,0.001802,0.001802
5,1583.19,1.44073,0.99747,1.09168,0.75492,0.71284,0.78485,0.48213,1.38849,1.50843,1.10488,0.001736,0.001736,0.001736
6,1897.94,1.40496,0.95343,1.07946,0.75745,0.74694,0.80215,0.49795,1.32446,1.57466,1.04482,0.00167,0.00167,0.00167
7,2205.35,1.3965,0.93383,1.07068,0.7857,0.75563,0.82474,0.5263,1.31596,1.20495,1.03805,0.001604,0.001604,0.001604
8,2513.18,1.35896,0.8969,1.05702,0.78262,0.74907,0.80926,0.52451,1.29866,1.49597,1.0318,0.001538,0.001538,0.001538
9,2820.4,1.34376,0.88512,1.05213,0.79685,0.74712,0.81976,0.53276,1.29356,1.76956,1.03014,0.001472,0.001472,0.001472
10,3129.14,1.32945,0.86693,1.04511,0.78902,0.7746,0.838,0.54517,1.2691,1.14269,1.02878,0.001406,0.001406,0.001406
11,3437.73,1.31659,0.85242,1.03948,0.77777,0.74787,0.80674,0.51094,1.26235,1.26345,1.02401,0.00134,0.00134,0.00134
12,3753.21,1.30238,0.83776,1.03411,0.78383,0.78489,0.84084,0.54904,1.31363,1.25968,1.04039,0.001274,0.001274,0.001274
13,4058.29,1.28757,0.81647,1.02474,0.78833,0.78066,0.83326,0.54314,1.2639,1.36451,1.02603,0.001208,0.001208,0.001208
14,4358.81,1.28329,0.80987,1.02693,0.7841,0.78099,0.83357,0.54651,1.24365,1.26193,1.00991,0.001142,0.001142,0.001142
15,4660.29,1.26584,0.78879,1.01819,0.80556,0.79589,0.85286,0.57236,1.20669,1.10518,1.00258,0.001076,0.001076,0.001076
16,4964.74,1.25405,0.77288,1.01109,0.78373,0.79287,0.8478,0.55755,1.22411,1.15015,0.99397,0.00101,0.00101,0.00101
17,5262.2,1.23901,0.75737,1.01078,0.81299,0.78404,0.85709,0.57932,1.20938,1.07212,0.98857,0.000944,0.000944,0.000944
18,5558.95,1.22927,0.74834,1.00504,0.80304,0.79604,0.85297,0.58201,1.1695,1.04531,0.98206,0.000878,0.000878,0.000878
19,5856.63,1.2261,0.7446,1.0024,0.80243,0.81149,0.86521,0.59533,1.15945,1.16771,0.96713,0.000812,0.000812,0.000812
20,6153.79,1.20803,0.72484,0.99721,0.80266,0.80067,0.85859,0.59176,1.16841,1.02358,0.97835,0.000746,0.000746,0.000746
21,6448.74,1.19431,0.72202,1.01159,0.80729,0.80511,0.86661,0.59636,1.17404,1.02959,0.98175,0.00068,0.00068,0.00068
22,6777.57,1.1877,0.71602,1.01164,0.805,0.80759,0.86745,0.59429,1.16434,1.00372,0.97569,0.000614,0.000614,0.000614
23,7073.56,1.16535,0.69375,1.00063,0.81237,0.80005,0.86833,0.59528,1.17942,1.10822,0.98323,0.000548,0.000548,0.000548
24,7367.45,1.15951,0.68176,0.99867,0.81297,0.80316,0.87154,0.60152,1.16632,0.99704,0.98031,0.000482,0.000482,0.000482
25,7663.75,1.14483,0.66749,0.98877,0.82154,0.7973,0.87092,0.60715,1.1474,0.98416,0.97063,0.000416,0.000416,0.000416
26,7960.33,1.136,0.67105,0.98589,0.80435,0.82237,0.87415,0.61002,1.13734,0.98532,0.97048,0.00035,0.00035,0.00035
27,8259.95,1.12076,0.64039,0.98191,0.80527,0.82137,0.8756,0.61103,1.14546,1.03454,0.97152,0.000284,0.000284,0.000284
28,8552.04,1.11657,0.6305,0.97839,0.80308,0.82882,0.87435,0.61115,1.14987,1.02581,0.97259,0.000218,0.000218,0.000218
29,8841.39,1.10789,0.61672,0.97606,0.81464,0.81835,0.87521,0.61393,1.15649,1.00791,0.97506,0.000152,0.000152,0.000152
30,9129.98,1.10001,0.61122,0.97968,0.816,0.81477,0.87599,0.61403,1.15902,1.0011,0.97628,8.6e-05,8.6e-05,8.6e-05
